Start,End,Duration (hours),Date,Event,Beaufort land-wind scale,No. customers affected
,,,12/02/2014,Darwin,Hurricane,
20/06/2015,21/06/2015 22:59,32.07,,,,
22/06/2015,22/06/2015 22:59,12.05,,,,
,,,12/11/2015,Abigail,Storm,
,,,17/11/2015,Barney,Storm,
,,,29/11/2015,Clodagh,Storm,
,,,04/12/2015,Desmond,Gale,
,,,23/12/2015,Eva,Storm,
,,,30/12/2015,Frank,Storm,
29/01/2016,30/01/2016 05:29,24.37,29/01/2016,Gertrude,Storm,
,,,01/02/2016,Henry,Storm,
,,,08/02/2016,Imogen,Storm,
,,,02/03/2016,Jake,Storm,
,,,26/03/2016,Katie,Gale,
09/09/2016,10/09/2016 06:59,8.98,,,,
10/09/2016,11/09/2016 06:59,23.98,,,,
11/09/2016,23/12/2016 06:59,2471.98,,,,
,,,22/11/2016,Angus,Gale,
,,,23/12/2016,Barbara,Gale,
,,,25/12/2016,Conor,Gale,
,,,23/02/2017,Doris,Violent Storm,
,,,25/02/2017,Ewan,Gale,
17/03/2017,24/03/2017 06:59,163.72,,,,
31/05/2017,02/06/2017 06:59,47.98,,,,
,,,12/09/2017,Aileen,Gale,
,,,16/10/2017,Ophelia,Violent Storm,385000
,,,21/10/2017,Brian,Gale,
,,,07/12/2017,Caroline,Gale,
,,,07/12/2017,Caroline,Gale,
,,,31/12/2017,Dylan,Storm,
,,,02/01/2018,Eleanor,Violent Storm,
,,,16/01/2018,Fionn,Storm,
,,,17/01/2018,David,Gale,
,,,23/01/2018,Georgina,Gale,
28/02/2018,30/03/2018 00:00,716.22,,,,
,,,01/03/2018,Emma,Gale,100000
21/04/2018,23/04/2018 22:59,51.98,,,,
,,,14/06/2018,Hector,Storm,
29/07/2018,30/07/2018 18:00,25,,,,
,,,19/09/2018,Ali,Violent Storm,
,,,21/09/2018,Bronagh,Gale,
,,,12/10/2018,Callum,Storm,
04/11/2018,05/11/2018 00:00,7,,,,
05/11/2018,06/11/2018 00:00,23.98,,,,
06/11/2018,07/11/2018 00:00,23.98,,,,
,,,28/11/2018,Diana,Gale,
,,,15/12/2018,Deidre,Gale,
,,,08/02/2019,Erik,Storm,
,,,02/03/2019,Freya,Gale,
,,,12/03/2019,Gareth,Storm,
,,,26/03/2019,Hannah,Storm,
,,,04/10/2019,Lorenzo,Storm,20000
,,,08/12/2019,Atiyah,Storm,7000
,,,18/12/2019,Elsa,Storm,
,,,13/01/2020,Brendan,Storm,100000
,,,09/02/2020,Ciara,Storm,30000
,,,10/02/2020,Ciara,Storm,30000
,,,16/02/2020,Dennis,Storm,18000
,,,29/02/2020,Jorge,Storm,5000
18/03/2020,21/03/2020 18:53,89.88,,,,
10/07/2020,10/07/2020 17:10,17.17,,,,
,,,19/08/2020,Ellen,Violent Storm,200000
,,,25/08/2020,Francis,Gale,
,,,04/10/2020,Alex,Gale,
,,,31/10/2020,Aiden,Storm,9000
,,,26/12/2020,Bella,Gale,0
02/01/2021,02/01/2021 20:40,10.67,,,,
,,,21/01/2021,Christoph,Near Gale,
,,,07/02/2021,Darcy,Gale,
,,,30/07/2021,Evert,Strong Breeze,
08/09/2021,09/09/2021 00:00,16,,,,
09/09/2021,10/09/2021 00:00,16,,,,
10/09/2021,10/09/2021 22:00,10,,,,
10/09/2021,10/09/2021 23:00,0.75,,,,
11/09/2021,11/09/2021 22:00,12,,,,
12/09/2021,12/09/2021 23:00,9,,,,
13/09/2021,13/09/2021 22:00,13,,,,
14/09/2021,14/09/2021 23:00,15,,,,
15/09/2021,15/09/2021 23:00,15,,,,
16/09/2021,16/09/2021 14:00,5,,,,
17/09/2021,17/09/2021 11:00,2,,,,
17/09/2021,17/09/2021 12:00,0.75,,,,
17/09/2021,17/09/2021 13:00,0.75,,,,
17/09/2021,17/09/2021 21:00,7.75,,,,
17/09/2021,17/09/2021 22:00,0.75,,,,
17/09/2021,18/09/2021 00:00,1.75,,,,
18/09/2021,18/09/2021 08:45,0.75,,,,
18/09/2021,18/09/2021 21:00,12,,,,
18/09/2021,18/09/2021 23:00,1.75,,,,
19/09/2021,19/09/2021 11:00,1,,,,
19/09/2021,19/09/2021 23:00,12,,,,
19/09/2021,20/09/2021 00:00,0.75,,,,
20/09/2021,21/09/2021 00:00,16,,,,
21/09/2021,21/09/2021 07:45,0.75,,,,
21/09/2021,21/09/2021 23:00,15,,,,
21/09/2021,22/09/2021 00:00,0.75,,,,
22/09/2021,22/09/2021 21:00,11,,,,
22/09/2021,22/09/2021 22:00,0.75,,,,
22/09/2021,22/09/2021 23:00,0.75,,,,
23/09/2021,23/09/2021 08:45,0.75,,,,
23/09/2021,23/09/2021 22:00,13,,,,
23/09/2021,23/09/2021 23:00,0.75,,,,
24/09/2021,24/09/2021 16:00,1,,,,
24/09/2021,24/09/2021 19:00,2.75,,,,
24/09/2021,24/09/2021 20:00,0.75,,,,
24/09/2021,24/09/2021 21:00,0.75,,,,
24/09/2021,24/09/2021 23:00,1.75,,,,
24/09/2021,25/09/2021 00:00,0.75,,,,
26/09/2021,26/09/2021 17:00,1,,,,
26/09/2021,26/09/2021 23:00,5.75,,,,
26/09/2021,27/09/2021 00:00,0.75,,,,
28/09/2021,28/09/2021 10:00,1,,,,
28/09/2021,28/09/2021 18:00,7.75,,,,
28/09/2021,28/09/2021 20:00,1.75,,,,
28/09/2021,28/09/2021 22:00,1.75,,,,
28/09/2021,28/09/2021 23:00,0.75,,,,
04/10/2021,04/10/2021 10:00,1,,,,
04/10/2021,04/10/2021 23:00,12.75,,,,
04/10/2021,05/10/2021 00:00,0.75,,,,
05/10/2021,05/10/2021 19:00,1,,,,
05/10/2021,05/10/2021 20:00,0.75,,,,
05/10/2021,05/10/2021 22:00,1.75,,,,
05/10/2021,05/10/2021 23:00,0.75,,,,
05/10/2021,06/10/2021 00:00,0.75,,,,
06/10/2021,06/10/2021 09:00,1,,,,
06/10/2021,06/10/2021 14:00,4.75,,,,
06/10/2021,06/10/2021 15:00,0.75,,,,
06/10/2021,06/10/2021 16:00,0.75,,,,
06/10/2021,06/10/2021 18:00,1.75,,,,
06/10/2021,06/10/2021 19:00,0.75,,,,
06/10/2021,06/10/2021 20:00,0.75,,,,
06/10/2021,06/10/2021 21:00,0.75,,,,
06/10/2021,06/10/2021 22:00,0.75,,,,
09/10/2021,09/10/2021 11:00,1,,,,
09/10/2021,09/10/2021 12:00,0.75,,,,
09/10/2021,09/10/2021 14:00,1.75,,,,
09/10/2021,09/10/2021 15:00,0.75,,,,
09/10/2021,09/10/2021 16:00,0.75,,,,
09/10/2021,09/10/2021 17:00,0.75,,,,
09/10/2021,09/10/2021 19:00,1.75,,,,
09/10/2021,09/10/2021 21:00,1.75,,,,
09/10/2021,09/10/2021 22:00,0.75,,,,
09/10/2021,09/10/2021 23:00,0.75,,,,
10/10/2021,10/10/2021 13:00,1,,,,
10/10/2021,10/10/2021 14:00,0.75,,,,
10/10/2021,10/10/2021 15:00,0.75,,,,
10/10/2021,10/10/2021 19:00,1,,,,
10/10/2021,10/10/2021 20:00,0.75,,,,
10/10/2021,10/10/2021 21:00,0.75,,,,
10/10/2021,10/10/2021 22:00,0.75,,,,
11/10/2021,11/10/2021 02:00,2,,,,
11/10/2021,11/10/2021 08:00,5.75,,,,
11/10/2021,11/10/2021 09:00,0.75,,,,
11/10/2021,11/10/2021 23:00,13.75,,,,
11/10/2021,12/10/2021 00:00,0.75,,,,
12/10/2021,12/10/2021 02:00,1.75,,,,
12/10/2021,12/10/2021 08:00,5.75,,,,
12/10/2021,12/10/2021 09:00,0.75,,,,
12/10/2021,12/10/2021 23:00,13.75,,,,
12/10/2021,13/10/2021 00:00,0.75,,,,
13/10/2021,13/10/2021 02:00,1.75,,,,
13/10/2021,13/10/2021 08:00,5.75,,,,
13/10/2021,13/10/2021 09:00,0.75,,,,
13/10/2021,13/10/2021 10:00,0.75,,,,
13/10/2021,13/10/2021 12:00,1.75,,,,
13/10/2021,13/10/2021 18:00,5.75,,,,
13/10/2021,13/10/2021 21:00,2.75,,,,
13/10/2021,13/10/2021 22:00,0.75,,,,
13/10/2021,13/10/2021 23:00,0.75,,,,
13/10/2021,14/10/2021 00:00,0.75,,,,
14/10/2021,14/10/2021 02:00,1.75,,,,
14/10/2021,14/10/2021 08:00,5.75,,,,
14/10/2021,14/10/2021 18:00,9.75,,,,
14/10/2021,14/10/2021 19:00,0.75,,,,
14/10/2021,14/10/2021 21:00,1.75,,,,
14/10/2021,14/10/2021 23:00,1.75,,,,
14/10/2021,15/10/2021 00:00,0.75,,,,
15/10/2021,15/10/2021 02:00,1.75,,,,
15/10/2021,15/10/2021 08:00,5.75,,,,
15/10/2021,15/10/2021 09:00,0.75,,,,
15/10/2021,15/10/2021 10:00,0.75,,,,
15/10/2021,15/10/2021 22:00,11.75,,,,
15/10/2021,15/10/2021 23:00,0.75,,,,
16/10/2021,16/10/2021 02:00,2,,,,
16/10/2021,16/10/2021 08:00,5.75,,,,
16/10/2021,16/10/2021 23:00,14.75,,,,
16/10/2021,17/10/2021 00:00,0.75,,,,
17/10/2021,17/10/2021 02:00,1.75,,,,
17/10/2021,17/10/2021 08:00,5.75,,,,
17/10/2021,17/10/2021 13:00,4.75,,,,
17/10/2021,17/10/2021 14:00,0.75,,,,
17/10/2021,17/10/2021 18:00,3.75,,,,
17/10/2021,17/10/2021 22:00,3.75,,,,
17/10/2021,17/10/2021 23:00,0.75,,,,
17/10/2021,18/10/2021 00:00,0.75,,,,
18/10/2021,18/10/2021 02:00,1.75,,,,
18/10/2021,18/10/2021 08:00,5.75,,,,
18/10/2021,18/10/2021 18:00,9.75,,,,
18/10/2021,18/10/2021 19:00,0.75,,,,
18/10/2021,18/10/2021 22:00,2.75,,,,
18/10/2021,18/10/2021 23:00,0.75,,,,
18/10/2021,19/10/2021 00:00,0.75,,,,
19/10/2021,19/10/2021 02:00,1.75,,,,
19/10/2021,19/10/2021 08:00,5.75,,,,
19/10/2021,19/10/2021 23:00,14.75,,,,
19/10/2021,20/10/2021 00:00,0.75,,,,
20/10/2021,20/10/2021 02:00,1.75,,,,
20/10/2021,20/10/2021 08:00,5.75,,,,
20/10/2021,20/10/2021 09:00,0.75,,,,
20/10/2021,20/10/2021 12:00,2.75,,,,
20/10/2021,20/10/2021 13:00,0.75,,,,
20/10/2021,20/10/2021 15:00,1.75,,,,
20/10/2021,20/10/2021 23:00,7.75,,,,
20/10/2021,21/10/2021 00:00,0.75,,,,
21/10/2021,21/10/2021 02:00,1.75,,,,
21/10/2021,21/10/2021 08:00,5.75,,,,
21/10/2021,21/10/2021 22:00,13.75,,,,
21/10/2021,21/10/2021 23:00,0.75,,,,
21/10/2021,22/10/2021 00:00,0.75,,,,
,,,26/11/2021,Arwen,Storm,0
,,,07/12/2021,Barra,Violent Storm,59000
,,,29/01/2022,Malik,Gale,0
,,,30/01/2022,Corrie,Gale,
,,,16/02/2022,Dudley,Gale,
,,,18/02/2022,Eunice,Violent Storm,80000
,,,20/02/2022,Franklin,Storm,18000
17/05/2022,20/05/2022 13:36,65.6,,,,
28/05/2022,31/05/2022 12:32,64.53,,,,
09/08/2022,11/08/2022 22:01,54.48,,,,
14/10/2022,16/10/2022 18:00,46,,,,
14/10/2022,17/10/2022 12:00,64,,,,
14/10/2022,17/10/2022 12:00,62.75,,,,
17/10/2022,17/10/2022 13:00,0.75,,,,
17/10/2022,17/10/2022 17:00,1,,,,
17/10/2022,17/10/2022 23:00,5.75,,,,
17/10/2022,18/10/2022 00:00,0.75,,,,
20/10/2022,20/10/2022 10:00,1,,,,
20/10/2022,20/10/2022 12:00,1.75,,,,
20/10/2022,20/10/2022 13:00,0.75,,,,
23/10/2022,23/10/2022 13:00,1,,,,
23/10/2022,23/10/2022 14:00,0.75,,,,
23/10/2022,23/10/2022 15:00,0.75,,,,
23/10/2022,23/10/2022 17:00,1.75,,,,
23/10/2022,23/10/2022 18:00,0.75,,,,
23/10/2022,23/10/2022 19:00,0.75,,,,
23/10/2022,23/10/2022 21:00,1.75,,,,
23/10/2022,23/10/2022 22:00,0.75,,,,
23/10/2022,23/10/2022 23:00,0.75,,,,
24/10/2022,24/10/2022 12:00,2,,,,
24/10/2022,24/10/2022 13:00,0.75,,,,
24/10/2022,24/10/2022 20:00,1,,,,
24/10/2022,24/10/2022 21:00,0.75,,,,
24/10/2022,24/10/2022 22:00,0.75,,,,
28/10/2022,28/10/2022 12:00,3,,,,
28/10/2022,28/10/2022 21:00,1,,,,
31/10/2022,31/10/2022 14:00,1,,,,
31/10/2022,31/10/2022 16:00,1.75,,,,
31/10/2022,31/10/2022 17:00,0.75,,,,
31/10/2022,31/10/2022 21:00,3.75,,,,
31/10/2022,31/10/2022 22:00,0.75,,,,
31/10/2022,31/10/2022 23:00,0.75,,,,
31/10/2022,01/11/2022 00:00,0.75,,,,
03/11/2022,03/11/2022 18:00,1,,,,
03/11/2022,03/11/2022 19:00,0.75,,,,
03/11/2022,03/11/2022 20:00,0.75,,,,
11/11/2022,11/11/2022 21:00,3,,,,
11/11/2022,11/11/2022 22:00,0.75,,,,
11/11/2022,11/11/2022 23:00,0.75,,,,
13/11/2022,13/11/2022 19:00,1,,,,
13/11/2022,13/11/2022 20:00,0.75,,,,
13/11/2022,13/11/2022 21:00,0.75,,,,
14/11/2022,14/11/2022 09:00,1,,,,
14/11/2022,14/11/2022 10:00,0.75,,,,
14/11/2022,14/11/2022 12:00,1.75,,,,
14/11/2022,14/11/2022 13:00,0.75,,,,
14/11/2022,14/11/2022 14:00,0.75,,,,
14/11/2022,14/11/2022 15:00,0.75,,,,
15/11/2022,15/11/2022 14:00,0.75,,,,
15/11/2022,15/11/2022 15:00,0.75,,,,
15/11/2022,15/11/2022 17:00,1,,,,
15/11/2022,15/11/2022 18:00,0.75,,,,
15/11/2022,15/11/2022 20:00,1.75,,,,
15/11/2022,15/11/2022 21:00,0.75,,,,
15/11/2022,15/11/2022 22:00,0.75,,,,
16/11/2022,16/11/2022 08:00,1,,,,
16/11/2022,16/11/2022 10:00,1.75,,,,
16/11/2022,16/11/2022 12:00,1.75,,,,
16/11/2022,16/11/2022 13:00,0.75,,,,
16/11/2022,16/11/2022 15:00,0.75,,,,
16/11/2022,16/11/2022 16:00,0.75,,,,
16/11/2022,16/11/2022 22:00,5.75,,,,
16/11/2022,16/11/2022 23:00,0.75,,,,
16/11/2022,17/11/2022 00:00,0.75,,,,
17/11/2022,17/11/2022 09:00,1,,,,
17/11/2022,17/11/2022 10:00,0.75,,,,
17/11/2022,17/11/2022 11:00,0.75,,,,
17/11/2022,17/11/2022 12:00,0.75,,,,
17/11/2022,17/11/2022 13:00,0.75,,,,
17/11/2022,17/11/2022 15:00,1.75,,,,
17/11/2022,17/11/2022 16:00,0.75,,,,
17/11/2022,17/11/2022 19:00,1,,,,
18/11/2022,18/11/2022 17:00,1,,,,
18/11/2022,18/11/2022 18:00,0.75,,,,
18/11/2022,18/11/2022 20:00,1.75,,,,
18/11/2022,18/11/2022 21:00,0.75,,,,
18/11/2022,18/11/2022 22:00,0.75,,,,
18/11/2022,18/11/2022 23:00,0.75,,,,
22/11/2022,22/11/2022 11:00,1,,,,
22/11/2022,22/11/2022 13:00,1.75,,,,
22/11/2022,22/11/2022 15:00,1.75,,,,
22/11/2022,22/11/2022 16:00,0.75,,,,
22/11/2022,22/11/2022 17:00,0.75,,,,
22/11/2022,22/11/2022 21:00,3.75,,,,
22/11/2022,22/11/2022 22:00,0.75,,,,
29/11/2022,29/11/2022 09:00,1,,,,
29/11/2022,29/11/2022 10:00,0.75,,,,
29/11/2022,29/11/2022 12:00,0.75,,,,
29/11/2022,29/11/2022 13:00,0.75,,,,
29/11/2022,29/11/2022 14:00,0.75,,,,
30/11/2022,30/11/2022 20:00,2,,,,
02/12/2022,02/12/2022 13:00,1,,,,
02/12/2022,02/12/2022 15:00,1.75,,,,
02/12/2022,02/12/2022 16:00,0.75,,,,
02/12/2022,02/12/2022 17:00,0.75,,,,
02/12/2022,02/12/2022 18:00,0.75,,,,
02/12/2022,02/12/2022 20:00,1.75,,,,
02/12/2022,02/12/2022 21:00,0.75,,,,
02/12/2022,02/12/2022 23:00,0.75,,,,
03/12/2022,03/12/2022 19:00,1,,,,
03/12/2022,03/12/2022 20:00,0.75,,,,
06/12/2022,06/12/2022 17:00,1,,,,
06/12/2022,06/12/2022 18:00,0.75,,,,
06/12/2022,06/12/2022 19:00,0.75,,,,
06/12/2022,06/12/2022 20:00,0.75,,,,
06/12/2022,06/12/2022 21:00,0.75,,,,
07/12/2022,07/12/2022 10:00,1,,,,
07/12/2022,07/12/2022 14:00,3.75,,,,
07/12/2022,07/12/2022 16:00,1.75,,,,
07/12/2022,07/12/2022 17:00,0.75,,,,
07/12/2022,07/12/2022 22:00,4.75,,,,
07/12/2022,07/12/2022 23:00,0.75,,,,
09/12/2022,09/12/2022 08:00,1,,,,
09/12/2022,09/12/2022 21:00,12.75,,,,
09/12/2022,09/12/2022 23:00,0.75,,,,
10/12/2022,10/12/2022 11:00,1,,,,
10/12/2022,10/12/2022 15:00,2.75,,,,
10/12/2022,10/12/2022 16:00,0.75,,,,
10/12/2022,10/12/2022 17:00,0.75,,,,
10/12/2022,10/12/2022 18:00,0.75,,,,
10/12/2022,10/12/2022 19:00,0.75,,,,
10/12/2022,10/12/2022 20:00,0.75,,,,
10/12/2022,10/12/2022 22:00,0.75,,,,
11/12/2022,11/12/2022 17:00,0.75,,,,
11/12/2022,11/12/2022 18:00,0.75,,,,
11/12/2022,11/12/2022 20:00,1.75,,,,
11/12/2022,11/12/2022 21:00,0.75,,,,
11/12/2022,11/12/2022 22:00,0.75,,,,
12/12/2022,12/12/2022 10:00,1,,,,
12/12/2022,12/12/2022 15:00,1.75,,,,
12/12/2022,12/12/2022 16:00,0.75,,,,
12/12/2022,12/12/2022 17:00,0.75,,,,
12/12/2022,12/12/2022 20:00,2.75,,,,
12/12/2022,12/12/2022 22:00,0.75,,,,
12/12/2022,12/12/2022 23:00,0.75,,,,
13/12/2022,13/12/2022 11:00,1,,,,
13/12/2022,13/12/2022 19:00,1,,,,
13/12/2022,13/12/2022 20:00,0.75,,,,
15/12/2022,15/12/2022 10:00,1,,,,
15/12/2022,15/12/2022 11:00,0.75,,,,
15/12/2022,15/12/2022 12:00,0.75,,,,
15/12/2022,15/12/2022 13:00,0.75,,,,
15/12/2022,15/12/2022 14:00,0.75,,,,
15/12/2022,15/12/2022 22:00,7.75,,,,
15/12/2022,15/12/2022 23:00,0.75,,,,
16/12/2022,16/12/2022 10:00,1,,,,
16/12/2022,16/12/2022 12:00,1.75,,,,
16/12/2022,16/12/2022 13:00,0.75,,,,
16/12/2022,16/12/2022 14:00,0.75,,,,
16/12/2022,16/12/2022 19:00,1,,,,
17/12/2022,17/12/2022 12:00,1,,,,
17/12/2022,17/12/2022 13:00,0.75,,,,
17/12/2022,17/12/2022 14:00,0.75,,,,
17/12/2022,17/12/2022 15:00,0.75,,,,
22/12/2022,22/12/2022 09:00,1,,,,
22/12/2022,22/12/2022 10:00,0.75,,,,
22/12/2022,22/12/2022 11:00,0.75,,,,
22/12/2022,22/12/2022 12:00,0.75,,,,
22/12/2022,22/12/2022 15:00,2.75,,,,
22/12/2022,22/12/2022 16:00,0.75,,,,
22/12/2022,22/12/2022 20:00,3.75,,,,
22/12/2022,22/12/2022 21:00,0.75,,,,
22/12/2022,22/12/2022 22:00,0.75,,,,
22/12/2022,22/12/2022 23:00,0.75,,,,
22/12/2022,23/12/2022 00:00,0.75,,,,
16/01/2023,16/01/2023 11:00,1,,,,
16/01/2023,16/01/2023 12:00,0.75,,,,
16/01/2023,16/01/2023 17:00,1,,,,
16/01/2023,16/01/2023 18:00,0.75,,,,
16/01/2023,16/01/2023 20:00,1.75,,,,
16/01/2023,16/01/2023 21:00,0.75,,,,
16/01/2023,16/01/2023 22:00,0.75,,,,
16/01/2023,16/01/2023 23:00,0.75,,,,
17/01/2023,17/01/2023 10:00,1,,,,
17/01/2023,17/01/2023 13:00,2.75,,,,
17/01/2023,17/01/2023 14:00,0.75,,,,
17/01/2023,17/01/2023 15:00,0.75,,,,
19/01/2023,19/01/2023 11:00,1,,,,
19/01/2023,19/01/2023 12:00,0.75,,,,
19/01/2023,19/01/2023 13:00,0.75,,,,
19/01/2023,19/01/2023 14:00,0.75,,,,
19/01/2023,19/01/2023 15:00,0.75,,,,
19/01/2023,19/01/2023 17:00,1,,,,
19/01/2023,19/01/2023 18:00,0.75,,,,
19/01/2023,19/01/2023 20:00,1.75,,,,
19/01/2023,19/01/2023 21:00,0.75,,,,
19/01/2023,19/01/2023 22:00,0.75,,,,
22/01/2023,22/01/2023 19:00,1,,,,
22/01/2023,22/01/2023 20:00,0.75,,,,
22/01/2023,22/01/2023 21:00,0.75,,,,
23/01/2023,23/01/2023 18:00,1,,,,
23/01/2023,23/01/2023 19:00,0.75,,,,
23/01/2023,23/01/2023 20:00,0.75,,,,
26/01/2023,26/01/2023 20:00,2,,,,
27/01/2023,27/01/2023 10:00,1,,,,
27/01/2023,27/01/2023 11:00,0.75,,,,
27/01/2023,27/01/2023 12:00,0.75,,,,
27/01/2023,27/01/2023 13:00,0.75,,,,
27/01/2023,27/01/2023 14:00,0.75,,,,
27/01/2023,27/01/2023 15:00,0.75,,,,
27/01/2023,27/01/2023 18:00,1,,,,
27/01/2023,27/01/2023 19:00,0.75,,,,
27/01/2023,27/01/2023 20:00,0.75,,,,
27/01/2023,27/01/2023 21:00,0.75,,,,
07/02/2023,07/02/2023 18:00,1,,,,
07/02/2023,07/02/2023 19:00,0.75,,,,
07/02/2023,07/02/2023 20:00,0.75,,,,
07/02/2023,07/02/2023 21:00,0.75,,,,
07/02/2023,07/02/2023 22:00,0.75,,,,
09/02/2023,09/02/2023 19:00,1,,,,
09/02/2023,09/02/2023 20:00,0.75,,,,
16/02/2023,16/02/2023 10:00,1,,,,
16/02/2023,16/02/2023 11:00,0.75,,,,
16/02/2023,16/02/2023 12:00,0.75,,,,
